"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.15147013036993e-21,0.458801860463138,1,0.997,1.27847728574974e-17,"2","Cox7c"
2.64617472492031e-21,0.488296698538954,1,0.994,2.93804779707902e-17,"2","Ly6h"
2.6478885782725e-21,0.453537858724969,0.996,0.985,2.93995068845596e-17,"2","Ndufa2"
6.86648988236298e-21,0.556462658694484,0.959,0.959,7.62386371638761e-17,"2","H3f3a"
2.54519244004083e-20,0.581893369180758,1,1,2.82592716617733e-16,"2","Nnat"
5.49414540623598e-20,0.448339953975778,1,0.999,6.1001496445438e-16,"2","Atp6v0c"
4.76575098893858e-19,0.37972895843104,1,1,5.29141332301851e-15,"2","Rpl11"
8.88692306800816e-19,0.475202909078532,0.996,0.977,9.86715068240946e-15,"2","Ubl5"
2.14729230494344e-18,0.431731515779984,0.996,1,2.3841386461787e-14,"2","Pfdn5"
4.81860609549298e-18,0.512590075006311,0.963,0.959,5.35009834782585e-14,"2","Prdx2"
5.14658965044367e-18,0.400175403501125,1,1,5.71425848888761e-14,"2","Cox4i1"
1.29856226872052e-17,0.371368023414135,1,1,1.4417936869604e-13,"2","Rps17"
1.42686676837852e-17,0.500012342655782,0.955,0.957,1.58425017293067e-13,"2","Psmb2"
2.08422739358454e-17,0.458935871154209,0.975,0.975,2.31411767509692e-13,"2","Tomm7"
2.39841047904621e-17,0.566633295657519,0.656,0.383,2.66295515488501e-13,"2","Tspo"
2.6661252158398e-17,0.362573149311137,1,1,2.96019882714693e-13,"2","Rpl32"
4.82034164156761e-17,0.358298026645748,1,1,5.35202532463251e-13,"2","Rps29"
5.42940128895869e-17,0.477317701018793,0.98,0.966,6.02826425113084e-13,"2","Tmem59"
9.7870787715565e-17,0.407578607938053,1,1,1.08665935600592e-12,"2","Pcsk1n"
1.33465592489218e-16,0.546331942190468,0.82,0.687,1.48186847340778e-12,"2","Ypel3"
2.03908031759113e-16,0.360796775411355,1,1,2.26399087662143e-12,"2","Rps19"
2.15181936529657e-16,0.439049771872011,0.996,0.979,2.38916504128878e-12,"2","Cox6b1"
3.04664336904323e-16,0.521251297888849,0.672,0.381,3.38268813264869e-12,"2","Atp6v1e1"
3.56954522205871e-16,0.32823037280127,1,1,3.96326606005178e-12,"2","Rpl35a"
4.26143136034914e-16,0.797782590001718,1,1,4.73146723939565e-12,"2","Pomc"
4.83336642772411e-16,0.432698287431696,0.971,0.966,5.36648674470207e-12,"2","Elob"
1.73284928031545e-15,0.362470957420616,1,1,1.92398255593425e-11,"2","Rps23"
1.94402201484225e-15,0.389401522513928,1,1,2.15844764307935e-11,"2","Calm2"
1.94604641712627e-15,0.547471820996932,0.955,0.934,2.1606953369353e-11,"2","Stmn1"
2.12784355364328e-15,0.415708123026495,0.951,0.954,2.36254469761014e-11,"2","Pebp1"
2.90399423412547e-15,0.316425186550898,1,1,3.22430479814951e-11,"2","Rpl21"
3.06905842168365e-15,0.363268494708732,1,1,3.40757556559535e-11,"2","Rpl19"
3.34037533671159e-15,0.444898340190947,0.914,0.872,3.70881873635087e-11,"2","Ndufb4"
3.55116755881071e-15,0.333157023980985,1,1,3.94286134054753e-11,"2","Rps27"
4.11128608455096e-15,0.429790574956805,0.98,0.963,4.56476093967693e-11,"2","Spcs1"
6.15575274626978e-15,0.378823855240725,0.996,0.985,6.83473227418334e-11,"2","Ndufa13"
6.62312572764582e-15,0.321708368803531,1,1,7.35365649540516e-11,"2","Fau"
7.44080908452286e-15,0.520124706994358,0.59,0.324,8.26153032654573e-11,"2","Coa3"
8.99612731518819e-15,0.339236388890667,1,1,9.98840015805345e-11,"2","Rps8"
1.35561668238863e-14,0.332059944399666,1,1,1.5051412024561e-10,"2","Rpl23a"
1.52252000585521e-14,0.562131123692399,0.996,0.997,1.69045396250104e-10,"2","Resp18"
2.47931391360458e-14,0.34610012594452,1,1,2.75278223827516e-10,"2","Rps15"
2.72569247669902e-14,0.390015690030411,0.996,0.996,3.02633635687892e-10,"2","Aldoa"
2.75639558465257e-14,0.311595309133894,1,1,3.06042601763975e-10,"2","Rpl6"
3.05854480119846e-14,0.396478451232342,0.98,0.957,3.39590229277065e-10,"2","Cox6a1"
3.29839217647246e-14,0.410486151797113,0.893,0.854,3.66220483353737e-10,"2","Nop10"
3.72875214967606e-14,0.404337958413688,0.967,0.979,4.14003351178532e-10,"2","Ndufa7"
4.01197922402649e-14,0.506225181235113,0.693,0.448,4.45450053243661e-10,"2","Crip2"
5.8499003143546e-14,0.398632651334645,0.943,0.906,6.49514431902791e-10,"2","Ndufc2"
8.46202692449892e-14,0.45224087153602,0.828,0.752,9.39538849427115e-10,"2","Ndufb5"
1.07721745489206e-13,0.336236114196777,1,1,1.19603454016665e-09,"2","Rpl13"
1.12871194457653e-13,0.337848910528269,1,1,1.25320887206332e-09,"2","Rpl39"
1.26812920261933e-13,0.33650809377602,1,1,1.40800385366824e-09,"2","Rps28"
1.27728910626922e-13,0.423304333450656,0.939,0.931,1.41817409469071e-09,"2","Uqcr10"
1.66663466522468e-13,0.482048659522283,0.553,0.321,1.85046446879896e-09,"2","Uqcc3"
1.93057640508355e-13,0.369034120560841,0.988,0.953,2.14351898256427e-09,"2","Sem1"
2.18313710428224e-13,0.348490723780867,1,1,2.42393712688457e-09,"2","Rps21"
2.81798472646796e-13,0.385126904665228,0.967,0.971,3.12880844179738e-09,"2","Btf3"
