"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Robo2",1.08897394802515e-08,0.371251992319974,0.346,0.064,0.000120908777449232,"7","Robo2"
"Ntrk2",1.16337639299097e-08,0.848834295796673,0.615,0.194,0.000129169680913788,"7","Ntrk2"
"Foxp2",1.63002230605964e-08,0.414003057118964,0.308,0.053,0.000180981376641802,"7","Foxp2"
"Gnb4",2.11042165327002e-08,0.251550732072128,0.231,0.031,0.00023432011616257,"7","Gnb4"
"Enoph1",3.16478562045391e-08,0.347881535204995,0.308,0.055,0.000351386147438998,"7","Enoph1"
"Scg51",3.39156026693892e-08,0.941295875174684,1,0.934,0.000376564936438228,"7","Scg5"
"Stxbp5",4.07835076354754e-08,0.36643139924458,0.346,0.068,0.000452819285276684,"7","Stxbp5"
"Pitpnb",4.60701605139517e-08,0.553726909400911,0.692,0.241,0.000511516992186405,"7","Pitpnb"
"Msrb1",4.72922335887122e-08,0.31860424174436,0.269,0.044,0.000525085669535471,"7","Msrb1"
"Keap1",5.55747194465953e-08,0.449895850466322,0.5,0.133,0.000617046110015547,"7","Keap1"
"Ube2a",5.71317618116732e-08,0.324186123186534,0.346,0.068,0.000634333951395008,"7","Ube2a"
"Rbfa",5.75459885044037e-08,0.365362340254654,0.346,0.07,0.000638933110364395,"7","Rbfa"
"Chgb1",5.90640187337064e-08,2.33642775452395,0.962,0.837,0.000655787800000342,"7","Chgb"
"Nptxr",6.57014977551749e-08,0.31885464985779,0.346,0.068,0.000729483729575706,"7","Nptxr"
"Fam53c",1.05428117572802e-07,0.340840021120585,0.308,0.058,0.00117056838941082,"7","Fam53c"
"Pttg1",1.19423419761771e-07,0.541612979946381,0.654,0.216,0.00132595822961494,"7","Pttg1"
"Clic4",1.20984767819175e-07,0.348967902003986,0.269,0.046,0.0013432938770963,"7","Clic4"
"Tmem159",1.24802914887763e-07,0.435903538775266,0.346,0.074,0.00138568676399883,"7","Tmem159"
"Ift43",1.49033360681743e-07,0.295781471359413,0.308,0.058,0.00165471740364939,"7","Ift43"
"Klc2",1.59151149913955e-07,0.374182818878049,0.231,0.036,0.00176705521749465,"7","Klc2"
"Mrps25",1.74271007330494e-07,0.31619628345077,0.346,0.072,0.00193493099439048,"7","Mrps25"
"Epb41l1",1.83795497782171e-07,0.27279951478272,0.269,0.047,0.00204068141187544,"7","Epb41l1"
"Nrsn1",2.04716573254841e-07,0.496148947790008,0.346,0.076,0.0022729681128485,"7","Nrsn1"
"Mrps11",2.09506155618589e-07,0.514532987644291,0.692,0.251,0.0023261468458332,"7","Mrps11"
"Tmem50b",2.63941963815766e-07,0.530050693330819,0.5,0.152,0.00293054762424645,"7","Tmem50b"
"Map1a",3.30409665164642e-07,0.404356471870518,0.385,0.092,0.00366853851232302,"7","Map1a"
"Cnih1",3.88807195524122e-07,0.494511780509475,0.577,0.185,0.00431692629190432,"7","Cnih1"
"Akirin1",4.01596374691705e-07,0.606164722512857,0.615,0.224,0.004458924548202,"7","Akirin1"
"Gar1",4.81167481588402e-07,0.348364263902757,0.346,0.077,0.00534240254807603,"7","Gar1"
"Pold3",5.00733436039846e-07,0.417592299027212,0.423,0.111,0.00555964334035041,"7","Pold3"
"Tmf1",5.01697389880103e-07,0.512285516335351,0.423,0.115,0.00557034611983878,"7","Tmf1"
"Ube2f",5.12512047100405e-07,0.329477804556123,0.385,0.092,0.0056904212589558,"7","Ube2f"
"Ctsa",5.66352830017168e-07,0.290937499128099,0.308,0.062,0.00628821547168062,"7","Ctsa"
"Pitx1",5.91558809914546e-07,0.547801095468238,0.731,0.293,0.00656807746648121,"7","Pitx1"
"Prkar2b1",6.78422068639483e-07,0.340990122045747,0.346,0.078,0.00753252022810418,"7","Prkar2b"
"Haus1",6.97354324307943e-07,0.349949352918707,0.346,0.079,0.00774272506279109,"7","Haus1"
"Pacsin1",7.52458604073325e-07,0.308778811888287,0.269,0.051,0.00835454788102613,"7","Pacsin1"
"Egr4",7.62012297453243e-07,0.615400254016806,0.462,0.126,0.00846062253862336,"7","Egr4"
"Rnf20",8.09103350628011e-07,0.505335193668878,0.577,0.194,0.0089834745020228,"7","Rnf20"
"Arhgef18",8.78359496787308e-07,0.288253414556888,0.308,0.064,0.00975242549282949,"7","Arhgef18"
"Mpnd",8.95885741519203e-07,0.346253517306949,0.346,0.08,0.00994701938808771,"7","Mpnd"
"Naa20",9.92769385286955e-07,0.369030988235099,0.615,0.199,0.0110227184848411,"7","Naa20"
"Ube2j2",1.19052312960797e-06,0.421814507248294,0.5,0.152,0.0132183783080373,"7","Ube2j2"
"Phf20",1.19270900703015e-06,0.476393652643398,0.577,0.199,0.0132426481050558,"7","Phf20"
"Ripk2",1.21713839169112e-06,0.308234911772178,0.269,0.053,0.0135138875629465,"7","Ripk2"
"Minar21",1.47675379112394e-06,0.634624856461649,0.577,0.205,0.0163963973428491,"7","Minar2"
"Efcab1",1.58315548122589e-06,0.468410358914459,0.654,0.231,0.0175777753080511,"7","Efcab1"
"Mcrip1",1.6237308444505e-06,0.4142719407356,0.731,0.271,0.0180282835659339,"7","Mcrip1"
"Elavl4",1.79674707079067e-06,0.343619419367072,0.346,0.083,0.0199492827269888,"7","Elavl4"
"Azin1",1.92304547054802e-06,0.477779305102301,0.538,0.182,0.0213515738594946,"7","Azin1"
"Farsa",2.0064399649341e-06,0.326859266513643,0.308,0.068,0.0222775029306633,"7","Farsa"
"Nol4",2.21220849551153e-06,0.433851186089408,0.577,0.198,0.0245621509256645,"7","Nol4"
"Fzr1",2.28638760035748e-06,0.361626859977884,0.308,0.07,0.0253857615267691,"7","Fzr1"
"Afdn",2.3186430150607e-06,0.576259122753272,0.577,0.222,0.0257438933962189,"7","Afdn"
"Ilkap",2.41848667531625e-06,0.514412581290196,0.577,0.208,0.0268524575560363,"7","Ilkap"
"Thap11",2.5082166051693e-06,0.314957386817411,0.385,0.099,0.0278487289671947,"7","Thap11"
"Thap3",2.59131378376288e-06,0.498354716565569,0.462,0.148,0.0287713569411193,"7","Thap3"
"Rybp",2.61291097182968e-06,0.397623882794616,0.5,0.154,0.029011150520225,"7","Rybp"
"Fem1c",2.63574609344431e-06,0.469321200839754,0.462,0.145,0.0292646888755122,"7","Fem1c"
"Abhd14a",2.73415644650004e-06,0.298772856182548,0.346,0.083,0.0303573390254899,"7","Abhd14a"
"Resp181",2.73640282645975e-06,1.49212671887356,1,0.894,0.0303822805821826,"7","Resp18"
"Nup153",2.78992106484694e-06,0.298772856182548,0.346,0.084,0.0309764935829956,"7","Nup153"
"Stmn2",2.86659660800937e-06,0.271706563941895,0.231,0.042,0.031827822138728,"7","Stmn2"
"Mkrn1",2.88181528748615e-06,0.432934607252422,0.577,0.201,0.0319967951369587,"7","Mkrn1"
"Prkdc",3.20273536093687e-06,0.320452024120505,0.308,0.07,0.035559970712482,"7","Prkdc"
"Mpdz",3.43939782183728e-06,0.317259042276647,0.308,0.07,0.0381876340158593,"7","Mpdz"
"Pdcd2",3.6147736662672e-06,0.410610939936069,0.346,0.089,0.0401348320165647,"7","Pdcd2"
"Pdcd6",3.67255409131621e-06,0.437963448728821,0.654,0.248,0.0407763680758839,"7","Pdcd6"
"Ethe1",4.11307887293424e-06,0.317790715413635,0.308,0.071,0.0456675147261889,"7","Ethe1"
"Mical2",4.48006079182318e-06,0.549290201095941,0.423,0.134,0.0497421149716128,"7","Mical2"
