"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Alyref",1.12601694909495e-06,0.416292047659615,0.542,0.258,0.0125021661858012,"2","Alyref"
"Gps1",1.12610481361973e-06,0.369141503855317,0.663,0.351,0.0125031417456199,"2","Gps1"
"Pomc",1.17709847287947e-06,0.421033775917198,1,1,0.0130693243443808,"2","Pomc"
"Eif3h",1.24534557120246e-06,0.434242333570471,0.964,0.838,0.013827071877061,"2","Eif3h"
"Iscu",1.25076606103992e-06,0.439536044557985,0.831,0.524,0.0138872555757263,"2","Iscu"
"Smap2",1.25633713363321e-06,0.368307696555188,0.482,0.21,0.0139491111947295,"2","Smap2"
"Snx1",1.3479593444968e-06,0.395305732393292,0.518,0.244,0.0149663926019479,"2","Snx1"
"Cox7b",1.37650739027758e-06,0.44899069458727,0.819,0.52,0.0152833615542519,"2","Cox7b"
"Gnpnat1",1.38577595646905e-06,0.362461438619501,0.398,0.155,0.0153862704446758,"2","Gnpnat1"
"Rpsa",1.40982310433113e-06,0.385181515119585,1,0.989,0.0156532659273885,"2","Rpsa"
"Sec61g",1.43198565973379e-06,0.404306170198504,0.988,0.967,0.0158993367800243,"2","Sec61g"
"Fkbp1a",1.43664389040113e-06,0.392193412474958,0.964,0.768,0.0159510571151237,"2","Fkbp1a"
"Rps5",1.4792950191425e-06,0.373266363024739,1,1,0.0164246125975392,"2","Rps5"
"Srm",1.50749214719282e-06,0.316525154452642,0.361,0.129,0.0167376853102819,"2","Srm"
"Sin3b",1.63085701877503e-06,0.401817516711446,0.59,0.314,0.0181074054794591,"2","Sin3b"
"Psma4",1.67205860038185e-06,0.36736023803234,0.735,0.384,0.0185648666400397,"2","Psma4"
"Dnajb6",1.67902333780524e-06,0.491580641391212,0.916,0.627,0.0186421961196516,"2","Dnajb6"
"Cox18",1.68001226748511e-06,0.254849646771904,0.301,0.089,0.0186531762058872,"2","Cox18"
"Csnk2b",1.69619797404278e-06,0.338161341171628,0.675,0.336,0.018832886105797,"2","Csnk2b"
"Cops5",1.72828144864814e-06,0.368940874112374,0.614,0.299,0.0191891089243403,"2","Cops5"
"Mphosph6",1.77913556100551e-06,0.393108430891213,0.542,0.262,0.0197537421338442,"2","Mphosph6"
"Eef1a1",1.79907793598137e-06,0.345572757795879,1,1,0.0199751623232012,"2","Eef1a1"
"Rplp0",1.81185530863979e-06,0.342734469340921,0.988,0.989,0.0201170294918276,"2","Rplp0"
"Mpc1",1.81712623277141e-06,0.414928858513636,0.747,0.435,0.020175552562461,"2","Mpc1"
"Bud23",1.8785990271341e-06,0.320434333804964,0.386,0.144,0.0208580849982699,"2","Bud23"
"Rps27",1.91118181165098e-06,0.389345140061121,1,0.996,0.0212198516547609,"2","Rps27"
"Arpc5l",1.94831000339377e-06,0.399681084814699,0.867,0.535,0.0216320859676811,"2","Arpc5l"
"Srsf3",2.02089581887186e-06,0.446970107046808,0.904,0.627,0.0224380062769342,"2","Srsf3"
"Rpl11",2.11984095824925e-06,0.373791409732728,1,0.996,0.0235365941594414,"2","Rpl11"
"Zfp219",2.19219756240954e-06,0.276059792739472,0.313,0.1,0.0243399695354331,"2","Zfp219"
"Pitpna",2.19356072815073e-06,0.41720318817011,0.614,0.328,0.0243551047646575,"2","Pitpna"
"Cnbp",2.20201818814858e-06,0.483042556978245,0.94,0.723,0.0244490079430136,"2","Cnbp"
"Uqcrc1",2.2423322849406e-06,0.358907820910476,0.747,0.443,0.0248966153596955,"2","Uqcrc1"
"Ran",2.24373080270974e-06,0.44758968834939,0.867,0.565,0.0249121431024862,"2","Ran"
"Gadd45gip1",2.26487746360072e-06,0.406714676669226,0.602,0.31,0.0251469344783588,"2","Gadd45gip1"
"Rps9",2.27536061602594e-06,0.374810659463552,1,0.989,0.025263328919736,"2","Rps9"
"Pin1",2.30907948494126e-06,0.358425056877188,0.843,0.469,0.0256377095213028,"2","Pin1"
"Smim27",2.3310463862918e-06,0.331939493842605,0.482,0.207,0.0258816080269979,"2","Smim27"
"Mlf2",2.34880910796742e-06,0.408366302540384,0.916,0.627,0.0260788275257623,"2","Mlf2"
"Higd2a",2.35814218529435e-06,0.356777800115918,0.699,0.38,0.0261824526833232,"2","Higd2a"
"Rpl22",2.43967326816128e-06,0.377884924478686,0.952,0.856,0.0270876922963947,"2","Rpl22"
"Sra1",2.44272662914136e-06,0.456882980473773,0.735,0.428,0.0271215937633565,"2","Sra1"
"Pdlim1",2.45008469168728e-06,0.334876433271519,0.373,0.137,0.0272032903318039,"2","Pdlim1"
"Aktip",2.53068653545033e-06,0.289653509925459,0.627,0.299,0.0280982126031051,"2","Aktip"
"Hspa4",2.60728133253168e-06,0.347567223319806,0.627,0.321,0.0289486446350992,"2","Hspa4"
"Tmem256",2.64964841137538e-06,0.406028300025189,0.831,0.539,0.0294190463115009,"2","Tmem256"
"Rpl22l1",2.68832192888654e-06,0.393426631005072,0.988,0.985,0.0298484383764272,"2","Rpl22l1"
"Snrpn",2.72468631155228e-06,0.447976641855481,0.771,0.494,0.030252192117165,"2","Snrpn"
"Smox",2.80199388224274e-06,0.275158727791757,0.205,0.044,0.0311105380745411,"2","Smox"
"Stk11",2.82021148052598e-06,0.369714713773814,0.639,0.339,0.0313128080682799,"2","Stk11"
"Ndufb3",2.8379904814035e-06,0.418113410309198,0.916,0.565,0.031510208315023,"2","Ndufb3"
"Dnajc12",2.85965524070541e-06,0.373208873453508,0.53,0.262,0.0317507521375521,"2","Dnajc12"
"Rheb",2.9017526955533e-06,0.460469642423821,0.855,0.646,0.0322181601787283,"2","Rheb"
"Cox5a",2.99557450856009e-06,0.394041492039813,0.771,0.443,0.0332598637685427,"2","Cox5a"
"Mrps33",3.03089163508764e-06,0.450769856747161,0.916,0.627,0.0336519898243781,"2","Mrps33"
"Psmb6",3.04856393391582e-06,0.42825023701147,0.892,0.579,0.0338482053582674,"2","Psmb6"
"Etfb",3.07642807334546e-06,0.417052030406607,0.831,0.55,0.0341575808983546,"2","Etfb"
"Chchd1",3.09577562393392e-06,0.412237813549842,0.687,0.391,0.0343723967525383,"2","Chchd1"
"Rps10",3.16728870414806e-06,0.397733887075859,0.976,0.967,0.035166406482156,"2","Rps10"
"Stip1",3.18068710757954e-06,0.318067319261047,0.59,0.284,0.0353151689554556,"2","Stip1"
"Rab11a",3.20578565988738e-06,0.429256489461608,0.819,0.531,0.0355938381817296,"2","Rab11a"
