"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Jtb",9.96520977960351e-19,0.329628431567713,0.587,0.314,1.10643724182938e-14,"4","Jtb"
"Mrps281",1.67675985250556e-18,0.293618984359713,0.616,0.336,1.86170646423692e-14,"4","Mrps28"
"Aldoa",2.15606369324954e-18,0.394750992997522,0.967,0.93,2.39387751861496e-14,"4","Aldoa"
"Snrpn",2.55404601267105e-18,0.318383507567987,0.779,0.467,2.83575728786867e-14,"4","Snrpn"
"Rrp11",3.20411500469584e-18,0.312198637949384,0.714,0.41,3.55752888971379e-14,"4","Rrp1"
"Mt3",3.33931955313755e-18,0.40749434790193,0.507,0.26,3.70764649984862e-14,"4","Mt3"
"Ndufv11",3.74770224234168e-18,0.31644729099946,0.707,0.403,4.16107379967197e-14,"4","Ndufv1"
"Ddx24",5.81594084650139e-18,0.307846827855397,0.757,0.45,6.45743912187049e-14,"4","Ddx24"
"Rnh11",6.72138618076719e-18,0.339457011551934,0.699,0.426,7.46275507650581e-14,"4","Rnh1"
"Arpc5l",6.77921617696892e-18,0.358972348575974,0.873,0.591,7.52696372128859e-14,"4","Arpc5l"
"Nsfl1c",6.88172607686203e-18,0.273316329064398,0.67,0.365,7.64078046313992e-14,"4","Nsfl1c"
"Ppib",7.81156332986041e-18,0.262034125343032,0.511,0.248,8.67317876514401e-14,"4","Ppib"
"Park7",9.29773176885655e-18,0.315784670451023,0.978,0.921,1.03232715829614e-13,"4","Park7"
"Bax1",1.27628767993215e-17,0.310181761656025,0.62,0.347,1.41706221102867e-13,"4","Bax"
"Pgls",1.29229904729078e-17,0.310581342314863,0.717,0.433,1.43483963220696e-13,"4","Pgls"
"Chchd21",1.30532161912725e-17,0.275102485728469,1,0.996,1.44929859371698e-13,"4","Chchd2"
"Uqcc3",1.44151534535842e-17,0.291221223775529,0.518,0.263,1.60051448795145e-13,"4","Uqcc3"
"Rpl111",2.29138772314768e-17,0.268435321323043,1,0.998,2.54412778901087e-13,"4","Rpl11"
"Gna111",4.18038580715598e-17,0.31303168017441,0.736,0.44,4.64148236168529e-13,"4","Gna11"
