"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ppp2r5a",7.17226827295039e-07,0.302333910554469,0.4,0.136,0.00796336946345681,"7","Ppp2r5a"
"Mpdu1",7.3057008529376e-07,0.470167160702375,0.511,0.218,0.00811151965701661,"7","Mpdu1"
"Zfand3",7.50264720900713e-07,0.275839504125851,0.378,0.123,0.00833018919616062,"7","Zfand3"
"Iqcd",7.60279277551223e-07,0.294647607229611,0.289,0.082,0.00844138081865123,"7","Iqcd"
"Krt81",7.62849765915038e-07,0.692400063591653,0.556,0.254,0.00846992095095467,"7","Krt8"
"Hspa82",7.81975772366864e-07,0.577153219362717,0.978,0.903,0.00868227700058929,"7","Hspa8"
"Mtfr1l",7.83273330263182e-07,0.448570329797592,0.578,0.27,0.00869668378591212,"7","Mtfr1l"
"Sdha",8.10122522352194e-07,0.380686999336137,0.444,0.17,0.00899479036567642,"7","Sdha"
"Six2",8.23955369455959e-07,0.261933460028617,0.222,0.053,0.00914837646706951,"7","Six2"
"Brd41",8.29655697032582e-07,0.428184243492921,0.578,0.261,0.00921166720415276,"7","Brd4"
"Eef1g1",8.59884390623599e-07,0.424268672337305,1,0.945,0.00954729638909382,"7","Eef1g"
"Hat1",9.01352563841924e-07,0.347542881694477,0.489,0.193,0.0100077175163369,"7","Hat1"
"Ripor1",9.21762130438568e-07,0.254011944782571,0.267,0.071,0.0102343249342594,"7","Ripor1"
"Cuta",9.91899115869769e-07,0.465804694821867,0.844,0.509,0.011013055883502,"7","Cuta"
"Commd9",1.00987015012153e-06,0.505037135488994,0.778,0.471,0.0112125882767994,"7","Commd9"
"Vcpkmt",1.01029457418799e-06,0.293155475375802,0.378,0.126,0.0112173006572092,"7","Vcpkmt"
"Ppp2r3a1",1.01497230988623e-06,0.292872414874047,0.311,0.093,0.0112692375566668,"7","Ppp2r3a"
"Ppt1",1.05333331358339e-06,0.396551684199865,0.378,0.134,0.0116951597807163,"7","Ppt1"
"Isoc2b",1.08058444847176e-06,0.314370887882037,0.4,0.14,0.0119977291313819,"7","Isoc2b"
"Socs4",1.1292129684507e-06,0.293128867940727,0.244,0.064,0.0125376515887082,"7","Socs4"
"Yipf1",1.16442849346777e-06,0.298192694820009,0.4,0.139,0.0129286495629727,"7","Yipf1"
"Ppp1r12c",1.1834149848578e-06,0.329721604607233,0.4,0.141,0.0131394565768762,"7","Ppp1r12c"
"Eci2",1.192728512406e-06,0.253449497877724,0.311,0.093,0.0132428646732439,"7","Eci2"
"Tax1bp3",1.19788606090894e-06,0.26693556746046,0.378,0.126,0.013300128934272,"7","Tax1bp3"
"Ar1",1.24150673766088e-06,0.32066055836106,0.289,0.085,0.0137844493082487,"7","Ar"
"Slc3a2",1.2452473253262e-06,0.746770630013407,0.778,0.577,0.0138259810530968,"7","Slc3a2"
"Ptprd",1.25010339694493e-06,0.276462971701487,0.267,0.073,0.0138798980162796,"7","Ptprd"
"Nudt21",1.25156462820022e-06,0.311057760342197,0.356,0.118,0.013896122066907,"7","Nudt21"
"Iscu1",1.28469138417255e-06,0.504095199789113,0.911,0.583,0.0142639284384679,"7","Iscu"
"Rpl29",1.30279921090919e-06,0.448301696514832,1,0.981,0.0144649796387247,"7","Rpl29"
"Elp3",1.32463842862686e-06,0.392035400430881,0.489,0.201,0.0147074604730441,"7","Elp3"
"Snx3",1.3317293856688e-06,0.584161558005522,0.822,0.513,0.0147861913690807,"7","Snx3"
"Nipsnap2",1.36764421106484e-06,0.372415154503695,0.467,0.186,0.0151849536754529,"7","Nipsnap2"
"Rpl321",1.39372197656098e-06,0.363558687912478,1,1,0.0154744951057565,"7","Rpl32"
"Snx2",1.40411989384725e-06,0.403290822603069,0.711,0.361,0.015589943181386,"7","Snx2"
"Ciao2b",1.48051025341865e-06,0.495988155726338,0.622,0.334,0.0164381053437073,"7","Ciao2b"
"Mrpl18",1.53128927859232e-06,0.501009684995675,0.622,0.328,0.0170019048602106,"7","Mrpl18"
"Tomm22",1.54553347952725e-06,0.403819040472911,0.822,0.444,0.0171600582231911,"7","Tomm22"
"Jup",1.59204107037149e-06,0.292011798553993,0.244,0.065,0.0176764320043346,"7","Jup"
"Pex13",1.68556018497287e-06,0.377687632266428,0.444,0.175,0.0187147747337538,"7","Pex13"
"Phf2",1.70698194826657e-06,0.260533567080825,0.289,0.084,0.0189526205716037,"7","Phf2"
"Naa15",1.71736775422277e-06,0.385741690263494,0.467,0.188,0.0190679341751354,"7","Naa15"
"Hdac2",1.74039221352379e-06,0.3075058222487,0.578,0.243,0.0193235747467546,"7","Hdac2"
"Pdp2",1.75333920048031e-06,0.255721023163456,0.222,0.055,0.0194673251429329,"7","Pdp2"
"Amd1",1.75555904587677e-06,0.41705399972957,0.578,0.264,0.0194919720863698,"7","Amd1"
"Irf2bp2",1.79318103291817e-06,0.458285046162574,0.311,0.101,0.0199096890084905,"7","Irf2bp2"
"Eps15",1.79770304486613e-06,0.285327485248779,0.289,0.085,0.0199598969071486,"7","Eps15"
