"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rsrp1",6.72836616578892e-11,0.498790572970691,0.962,0.935,7.47050495387544e-07,"3","Rsrp1"
"Chchd21",8.47102901333776e-11,0.410876282903118,1,1,9.40538351350892e-07,"3","Chchd2"
"Socs3",9.58131977019602e-11,0.631673483619841,0.302,0.109,1.06381393408486e-06,"3","Socs3"
"Tpm4",1.01314151688244e-10,0.485426827170242,0.553,0.293,1.12489102619458e-06,"3","Tpm4"
"Chka",1.35558740813053e-10,0.558374659293287,0.654,0.399,1.50510869924732e-06,"3","Chka"
"Slc5a3",2.35215939174066e-10,0.546156848500398,0.434,0.205,2.61160257264965e-06,"3","Slc5a3"
"Lysmd3",2.52475788067784e-10,0.364593828845619,0.264,0.089,2.80323867491661e-06,"3","Lysmd3"
"Nap1l5",3.14897626178884e-10,0.542397080371406,0.937,0.917,3.49630834346415e-06,"3","Nap1l5"
"Txnip",3.22910104134494e-10,0.641800077903563,0.447,0.22,3.58527088620528e-06,"3","Txnip"
"Mapk6",3.28285864400623e-10,0.340842870192899,0.421,0.185,3.64495795244012e-06,"3","Mapk6"
"Rassf1",5.7671053890713e-10,0.368447939909032,0.358,0.146,6.40321711348586e-06,"3","Rassf1"
"Map3k8",6.00496854075712e-10,0.363202979171515,0.233,0.073,6.66731657080263e-06,"3","Map3k8"
"Idi1",6.78147891027237e-10,0.557481764299049,0.321,0.131,7.52947603407542e-06,"3","Idi1"
"Lmna",6.83633017787015e-10,0.362280083144451,0.566,0.286,7.59037739648922e-06,"3","Lmna"
"Trib1",7.08528843114074e-10,0.342742915506037,0.277,0.098,7.86679574509557e-06,"3","Trib1"
"Tnnt1",8.92148445671091e-10,0.832574307371606,0.604,0.353,9.90552419228612e-06,"3","Tnnt1"
"Hmgn2",9.14440838182963e-10,0.421817174182352,0.811,0.667,1.01530366263454e-05,"3","Hmgn2"
"Oaz1",9.29982367484251e-10,0.346830905419355,1,0.999,1.03255942261776e-05,"3","Oaz1"
"Arl4a",9.30383147207619e-10,0.481817494366977,0.503,0.27,1.03300440834462e-05,"3","Arl4a"
"Morf4l1",9.3291278116437e-10,0.362613423735412,0.95,0.978,1.0358130609268e-05,"3","Morf4l1"
"Mapre1",9.40051821591582e-10,0.518249570443808,0.447,0.222,1.04373953751313e-05,"3","Mapre1"
